Number,Genebank,Genebank ID,Species code,Species,GPS,GPS,GPS,GPS,Place,Province,COUNTRY,Description,Date of collecton,Elevation,Ploidy
155,GLKS,32158,EHR,ehrenbergii,"227,833",2247N,"-102,583",10235W,E. Zacatecas,NULL,MEX,726.5 km from Mexico towards Zacatecas,9/14/1949,2100,NULL
156,GLKS,30425,FEN,fendleri,NULL,NULL,NULL,NULL,E. New Mexico,NULL,USA,NULL,NULL,NULL,48
157,GLKS,30428,FEN,fendleri,NULL,NULL,NULL,NULL,E. New Mexico,NULL,USA,Clouderoff,NULL,NULL,48
158,GLKS,30429,FEN,fendleri,NULL,NULL,NULL,NULL,E. New Mexico,NULL,USA,"Coronado, national park",NULL,NULL,48
159,GLKS,30433,FEN,fendleri,"329,333",3256N,"-105,716",10543W,E. New Mexico,C. Otero,USA,Lincoln National Forest.  Lane located a quarter of a mile S of Cloudcroft,7/31/1958,2600,NULL
160,GLKS,30444,FEN,fendleri,"262,666",2616N,-105.45,10527W,E. Chihuahua,NULL,MEX,11 miles from Vergel on road from Parral,8/18/1958,2500,NULL
161,GLKS,35350,AZN,fendleri arizonicum,"284,333",2826N,-107,10700W,E. Chihuahua,NULL,MEX,17 km from Cuauhtemoc towards La Junta,9/22/1982,2090,NULL
162,GLKS,35351,AZN,fendleri arizonicum,"282,333",2814N,-107.45,10727W,E. Chihuahua,NULL,MEX,27 km along the road to San Juanito from the La Junta to Yepachic Hwy,9/22/1982,2060,NULL
163,GLKS,32423,GND,gandarillasii,"-177,166",1743S,-65.2,06512W,D. Cochabamba,P. Mizque,BOL,"Julpe, Near the Rio Julpe. Upstream from the crossing just before village",3/4/1986,2200,NULL
164,GLKS,715,PTR,gourlayi pachytrichum,NULL,NULL,NULL,NULL,D. Potosi,P. Frias,BOL,Near Potosi,3/1/1959,4000,24
165,GLKS,31512,SPEC,species,NULL,NULL,NULL,NULL,NULL,NULL,MEX,NULL,NULL,NULL,NULL
166,GLKS,32762,HAW,hawkesianum,"-253,333",2520S,"-658,666",06552W,P. Salta,D. San Carlos,ARG,"Cuesta del Obispo, La Herradura, route 59",3/24/1973,3300,24
167,GLKS,32765,HAW,hawkesianum,"-251,666",2510S,"-658,666",06552W,P. Salta,D. Chicoana-San Carlos,ARG,"Route 59, km 56, 13 km from pie de la cuesta and 16 km W of Hosteria Maray",4/4/1973,3340,NULL
168,GLKS,32852,HDM,hondelmannii,"-192,333",1914S,"-651,666",06510W,D. Chuquisaca,P. Yamparaez,BOL,"Chamicle, 7 km from turn-off from the Sucre-Tarabuco road toward Sotomayor",3/9/1986,2700,NULL
169,GLKS,32885,HPS,hoopesii,"-194,833",1929S,-64.7,06442W,D. Chuquisaca,P. Azurduy,BOL,"103 km from Azurduy, 13 km beyond Cruz Kasa, on the road to Tarabuco",4/1/1986,3440,NULL
170,GLKS,32441,HCB,huancabambense,NULL,NULL,NULL,NULL,NULL,NULL,PER,NULL,NULL,NULL,NULL
171,GLKS,32829,HMP,humectophilum,NULL,NULL,NULL,NULL,D. Amazonas,P. Chachapoyas,PER,Convento,NULL,2800,24
172,GLKS,32819,IMT,immite,"-101,666",1010S,"-776,666",07740W,D. Ancash,P. Uahpa-cotu,PER,Near Huayan,NULL,2500,NULL
173,GLKS,25465,JUZ,juzepczukii,NULL,NULL,NULL,NULL,D. Cusco,NULL,PER,NULL,NULL,NULL,NULL
174,GLKS,25467,JUZ,juzepczukii,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL
175,GLKS,25468,JUZ,juzepczukii,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL
176,GLKS,25469,JUZ,juzepczukii,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL
177,GLKS,25470,JUZ,juzepczukii,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL
178,GLKS,32439,LXS,laxissimum,NULL,NULL,NULL,NULL,D. Junin,P. Satipo,PER,La Calabaza,NULL,2500,NULL
179,GLKS,32215,LGL,lignicaule,"-134,333",1326S,-71.85,07151W,D. Cusco,P. Calca,PER,"Pisac, valley Intihuatana",4/17/1959,3100,24
180,GLKS,35363,LGC,longiconicum,NULL,NULL,NULL,NULL,P. Cartago,NULL,CRI,"Pan-American highway, 60 km S of Cartago",11/7/1949,2850,NULL
181,GLKS,35430,MRN,marinasense,NULL,NULL,NULL,NULL,D. Cusco,P. Quispicanchis,PER,Paucarpata,NULL,3450,NULL
182,GLKS,32281,MRN,marinasense,"-133,333",1320S,-71.95,07157W,D. Cusco,P. Urubamba,PER,"Quebrada de Chochoc, near Calca",NULL,NULL,NULL
183,GLKS,32226,MED,medians,NULL,NULL,NULL,NULL,D. Lima,P. Canta,PER,Just below Canta on the road Lima-Canta,4/12/1964,2700,24
184,GLKS,35422,SPEC,species,NULL,NULL,NULL,NULL,D. Tarija,P. Aviles,BOL,"Punas de Patanca, 10 km NE of Copacabana",3/21/1978,3780,NULL
185,GLKS,32346,MCH,michoacanum,NULL,NULL,NULL,NULL,NULL,NULL,MEX,NULL,NULL,NULL,NULL
186,GLKS,2319,MCQ,mochiquense,NULL,NULL,NULL,NULL,NULL,NULL,PER,NULL,NULL,NULL,NULL
187,GLKS,32245,MRL,morelliforme,14.75,1445N,-91.55,09133W,D. Quezaltenango,NULL,GTM,"5 km SW of Quezaltenango, lower slopes of Volcan Santa Maria, Baho",11/1/1958,2550,24
188,GLKS,5366,MSP,moscopanum,2.5,0230N,-76.4,07624W,D. Cauca,P. Totoro,COL,NULL,NULL,NULL,NULL
189,GLKS,5435,MTP,multiinterruptum,NULL,NULL,NULL,NULL,D. Ancash,P. Aija,PER,Huayan,NULL,3000,NULL
190,GLKS,32431,MTP,multiinterruptum,"-98,666",0952S,"-777,333",07744W,D. Ancash,P. Huamanwilca,PER,Above Huayan,NULL,3550,NULL
191,GLKS,5444,MTP,multiinterruptum,NULL,NULL,NULL,NULL,D. Lima,P. Huaral,PER,Milacancha,NULL,3400,NULL
192,GLKS,35364,MAT,matehulae,NULL,NULL,NULL,NULL,NULL,NULL,MEX,NULL,NULL,NULL,NULL
193,GLKS,32855,NCD,neocardenasii,-18.1,1806S,"-641,833",06411W,D. Santa Cruz,P. Valle Grande,BOL,"Road to Vallegrande, 1.5 km S of Mataral, top of a small hill in pasture",NULL,1400,NULL
194,GLKS,919,SPEC,species,NULL,NULL,NULL,NULL,NULL,NULL,ARG,NULL,NULL,NULL,24
195,GLKS,5441,ORP,orophilum,NULL,NULL,NULL,NULL,D. Ancash,P. San Ant.Raimondi,PER,Cuncayoc,NULL,3800,NULL
196,GLKS,35301,ORP,orophilum,"-92,666",0916S,"-772,666",07716W,D. Ancash,P. Huari,PER,"Segundo Rag Rag, above Ccopalca, in route from Huari to San Luis",NULL,3500,NULL
197,GLKS,35317,PLS,palustre,-39.75,3945S,"-713,333",07120W,P. Neuquen,D. Huiliches,ARG,"On both sides of dirt road, on N side of Lago Huechulafquen",2/19/1990,1020,NULL
198,GLKS,35319,PLS,palustre,-34.75,3445S,"-707,166",07043W,P. O'Higgins,D. Colchagua,CHL,5.7 km E of intersection of road to Bellavista and road to Termas del Flaco,2/1/1989,820,NULL
199,GLKS,35372,PCJ,paucijugum,"-17,333",0144S,-78.8,07848W,P. Chimborazo,D. Sicalpa,ECU,"In Quebrada Camal, on north side of road from Sicalpa-Pallatanga",5/17/1991,3770,NULL
200,GLKS,31467,PHU,phureja,"11,666",0110N,"-771,666",07710W,D. Narino,P. Pasto,COL,NULL,NULL,3000,NULL
201,GLKS,31468,PHU,phureja,"23,833",0223N,-76.5,07630W,D. Cauca,NULL,COL,"Munchique. Carpinteria, in a garden.",8/18/1948,2200,24
202,GLKS,2659,PHU,phureja,NULL,NULL,NULL,NULL,D. Cauca (2x),NULL,COL,Cauca/Cauca,NULL,NULL,NULL
203,GLKS,31455,PHU,phureja,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL
204,GLKS,31586,PNT,pinnatisectum,NULL,NULL,NULL,NULL,E. Michoacan,NULL,MEX,Near Morelia,7/29/1949,1860,NULL
205,GLKS,22340,SPEC,species,-5.5,0530S,"-796,666",07940W,D. Piura,P. Huancabamba,PER,"between Canchaque & Paso Cuello del Iindio, road to Huancabamba",4/2/1964,2900,NULL
206,GLKS,32341,PUR,piurana,"-52,333",0514S,"-794,666",07928W,D. Piura,P. Huancabamba,PER,"Culin hill, Alturas de Huancabamba",6/15/1974,3200,NULL
207,GLKS,35375,PLD,polyadenium,"187,166",1843N,"-973,166",09719W,E. Veracruz,NULL,MEX,"Near Puerto del Aire, on old Orizaba - Mexico road, highway 150",10/24/1967,2340,NULL
208,GLKS,30637,RAP,raphanifolium,NULL,NULL,NULL,NULL,D. Cusco,P. Calca,PER,Intihuatana en Ruinas de Pisac,4/24/1953,3450,24
209,GLKS,30644,RAP,raphanifolium,-13.4,1324S,-72.05,07203W,D. Cusco,P. Chincheros,PER,NULL,2/23/1963,NULL,NULL
210,GLKS,32808,SPEC,species,NULL,NULL,NULL,NULL,NULL,NULL,ARG,NULL,NULL,NULL,NULL
211,GLKS,32809,SPEC,species,NULL,NULL,NULL,NULL,NULL,NULL,ARG,NULL,NULL,NULL,NULL
212,GLKS,30658,SNK,schenckii,21.1,2106N,-99.7,09942W,E. Queretaro,NULL,MEX,"Hwy 120, Jalpan to San Juan del Rio, just beyond Madrono, about 4 km NW",9/15/1983,2850,NULL
213,GLKS,30659,SNK,schenckii,"183,333",1820N,"-971,666",09710W,E. Puebla,NULL,MEX,"Tehuacan-Oaxaca road, turning at Coxcatlan towards Zoquitlan",10/23/1983,2660,NULL
214,GLKS,31014,STL,setulosistylum,NULL,NULL,NULL,NULL,NULL,NULL,ARG,NULL,NULL,NULL,NULL
215,GLKS,35382,SGR,sogarandinum,NULL,NULL,NULL,NULL,D. Ancash,P. Acrana,PER,NULL,NULL,3500,NULL
216,GLKS,35383,SOL,solisii,NULL,NULL,NULL,NULL,P. Tungurahua,C. Tungurahua,ECU,Vecinity of Rio Yangahua,NULL,3550,NULL
217,GLKS,32755,SPG,spegazzinii,"-250,333",2502S,"-662,333",06614W,P. Salta,D. Cachi,ARG,"Las Pailas, 14 km NW of Cachi. Quebrada de Las Arcas",4/20/1971,2640,24
218,GLKS,30762,STN,stenotomum,NULL,NULL,NULL,NULL,NULL,NULL,BOL,NULL,NULL,NULL,NULL
219,GLKS,30732,STN,stenotomum,NULL,NULL,NULL,NULL,NULL,NULL,PER,NULL,NULL,NULL,NULL
220,GLKS,32703,GON,stenotomum goniocalyx,NULL,NULL,NULL,NULL,NULL,NULL,PER,NULL,NULL,NULL,NULL
221,GLKS,30512,STO,stoloniferum,NULL,NULL,NULL,NULL,NULL,NULL,MEX,NULL,NULL,NULL,48
222,GLKS,30722,SUB,subandigena,NULL,NULL,NULL,NULL,D. Chuquisaca,P. Sucre,BOL,NULL,NULL,NULL,NULL
223,GLKS,22873,SUP,subpanduratum,NULL,NULL,NULL,NULL,E. Merida,NULL,VEN,"Rangel, Paramo Los Haticos",NULL,3700,NULL
224,GLKS,31570,TAR,tarijense,NULL,NULL,NULL,NULL,NULL,NULL,BOL,NULL,NULL,NULL,24
225,GLKS,31572,TAR,tarijense,NULL,NULL,NULL,NULL,NULL,NULL,BOL,NULL,NULL,NULL,24
226,GLKS,32870,TRN,tarnii,20.55,2033N,"-984,833",09829W,E. Veracruz,NULL,MEX,"About 14 km S of Huayacocotla, near Viborillos, on road to Tulancingo",9/4/1983,2410,NULL
227,GLKS,35384,TRN,tarnii,"203,166",2019N,"-984,833",09829W,E. Hidalgo,NULL,MEX,"28 km S of Huayacocotla, 8 km before Agua Blanca",9/4/1983,2360,NULL
228,GLKS,35385,TRN,tarnii,NULL,NULL,NULL,NULL,NULL,NULL,MEX,NULL,9/6/1983,NULL,NULL
229,GLKS,32871,TRN,tarnii,20.8,2048N,"-992,333",09914W,E. Hidalgo,NULL,MEX,"Turning off Hwy 85 at Las Trancas, go 6.4 km along road to Nicolas Flores",10/9/1984,2440,NULL
230,GLKS,2355,TRF,trifidum,"196,333",1938N,-102,10200W,E. Michoacan,NULL,MEX,Km 48 on the Carapan-Uruapan hwy,NULL,NULL,NULL
231,GLKS,32298,PNT,pinnatisectum,NULL,NULL,NULL,NULL,E. Jalisco,NULL,MEX,NULL,NULL,NULL,NULL
232,GLKS,22827,TBR,tuberosum,NULL,NULL,NULL,NULL,NULL,NULL,PER,NULL,NULL,NULL,NULL
233,GLKS,31211,TBR,tuberosum,NULL,NULL,NULL,NULL,NULL,Chiloe,CHL,NULL,NULL,NULL,NULL
234,GLKS,31114,TBR,tuberosum,NULL,NULL,NULL,NULL,P. Cautin,NULL,CHL,NULL,NULL,NULL,NULL
235,GLKS,35027,ADG,tuberosum andigena,NULL,NULL,NULL,NULL,NULL,NULL,ARG,NULL,NULL,NULL,NULL
236,GLKS,4994,ADG,tuberosum andigena,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL
237,GLKS,34963,ADG,tuberosum andigena,NULL,NULL,NULL,NULL,NULL,NULL,ECU,NULL,NULL,NULL,NULL
238,GLKS,34867,ADG,tuberosum andigena,NULL,NULL,NULL,NULL,NULL,NULL,PER,NULL,NULL,NULL,NULL
239,GLKS,34149,ADG,tuberosum andigena,NULL,NULL,NULL,NULL,NULL,NULL,BOL,Tupiza Cinte,NULL,NULL,48
240,GLKS,34509,ADG,tuberosum andigena,NULL,NULL,NULL,NULL,D. Puno,NULL,PER,NULL,NULL,NULL,NULL
241,GLKS,34523,ADG,tuberosum andigena,NULL,NULL,NULL,NULL,D. La Paz,NULL,BOL,NULL,NULL,NULL,NULL
242,GLKS,34630,ADG,tuberosum andigena,NULL,NULL,NULL,NULL,NULL,NULL,PER,NULL,NULL,NULL,NULL
243,GLKS,34737,ADG,tuberosum andigena,NULL,NULL,NULL,NULL,NULL,NULL,PER,NULL,NULL,NULL,NULL
244,GLKS,35388,TND,tundalomense,NULL,NULL,NULL,NULL,P. Tungurahua,C. Tungurahua,ECU,Vecinity of Rio de Oro,NULL,3200,NULL
245,GLKS,35389,TND,tundalomense,"-30,166",0301S,"-790,333",07902W,P. Azuay,C. Cuenca,ECU,Portete de Tarqui,NULL,3400,NULL
246,GLKS,32343,CHC,chacoense,NULL,NULL,NULL,NULL,P. Loja,C. Loja,ECU,"Zaragura, Huacaquiru",NULL,3100,NULL
247,GLKS,35390,TND,tundalomense,"-30,166",0301S,"-790,333",07902W,P. Azuay,C. Cuenca,ECU,Portete de Tarqui,NULL,3400,NULL
248,GLKS,32887,UGT,ugentii,-19.55,1933S,-64.65,06439W,D. Chuquisaca,P. Azurduy,BOL,"30 km beyond the Torre Pampa junction, 20 km before Cruz Kasa",4/6/1987,3740,NULL
249,GLKS,32889,UGT,ugentii,"-195,166",1931S,"-646,833",06441W,D. Chuquisaca,P. Azurduy,BOL,About 22 km beyond the Torre Pampa junction on the way to Azurduy,4/6/1987,3730,NULL
250,GLKS,32794,VNT,venturii,NULL,NULL,NULL,NULL,NULL,NULL,ARG,NULL,NULL,NULL,24
251,GLKS,2798,VIO,violaceimarmoratum,"-163,166",1619S,-67.9,06754W,D. La Paz,P. Nor Yungas,BOL,10 km from Unduavi to Coroico,4/3/1971,3225,NULL
252,GLKS,32196,HAN,hannemanii,NULL,NULL,NULL,NULL,NULL,NULL,BOL,NULL,NULL,NULL,24
253,GLKS,32722,SPEC,species,NULL,NULL,NULL,NULL,D. Arequipa,NULL,PER,Torata,NULL,NULL,NULL
254,GLKS,32725,WBR,weberbaueri,NULL,NULL,NULL,NULL,NULL,NULL,PER,NULL,NULL,NULL,NULL
255,GLKS,32172,SPEC,species,NULL,NULL,NULL,NULL,NULL,NULL,BOL,NULL,NULL,NULL,NULL
256,CPC,3768,ACL,acaule,"-222,333",2214S,"-652,833",06517W,P. Jujuy,D. Yavi,ARG,2.8 km above Rincon de Cajas on the road to Santa Vivctoria,3/12/1966,4125,48
257,CPC,7212,ALN,alandiae,NULL,NULL,NULL,NULL,D. Cochabamba,P. Mizque,BOL,40 km from Aiquile to Epizana (192 km from Sucre),3/18/1971,2650,24
258,CPC,3822,BST,brachistotrichum,NULL,NULL,NULL,NULL,NULL,NULL,MEX,NULL,NULL,NULL,NULL
259,CPC,7028,BCP,brachycarpum,NULL,NULL,NULL,NULL,NULL,NULL,MEX,NULL,NULL,NULL,NULL
260,CPC,2725,CAN,canasense,"-134,333",1326S,-71.85,07151W,D. Cusco,P. Calca,PER,"Intihuatana Ruins, up from Pisac",4/24/1953,3350,NULL
261,CPC,3554,CAP,capsicibaccatum,NULL,NULL,NULL,NULL,NULL,NULL,BOL,NULL,NULL,NULL,24
262,CPC,7211,SPEC,species,NULL,NULL,NULL,NULL,NULL,NULL,CHL,NULL,NULL,NULL,NULL
263,CPC,5901,CHC,chacoense,NULL,NULL,NULL,NULL,NULL,NULL,ARG,NULL,NULL,NULL,NULL
264,CPC,5858,DMS,demissum,NULL,NULL,NULL,NULL,NULL,NULL,URY,NULL,NULL,NULL,NULL
265,CPC,5861,CMM,commersonii,NULL,NULL,NULL,NULL,E. Rio Grande do Sul,NULL,BRA,Pelotas,NULL,NULL,NULL
266,CPC,7520,MLM,commersonii malmeanum,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL
267,CPC,7323,CUR,curtilobum,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL
268,CPC,7510,JAM,jamesii,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL
269,CPC,7519,ETB,etuberosum,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL
270,CPC,7044,GND,gandarillasii,NULL,NULL,NULL,NULL,NULL,NULL,BOL,NULL,NULL,NULL,NULL
271,CPC,7050,HOU,hougasii,NULL,NULL,NULL,NULL,NULL,NULL,MEX,NULL,NULL,NULL,NULL
272,CPC,2718,HOU,hougasii,19.4,1924N,-101.6,10136W,E. Michoacan,NULL,MEX,"7 miles beyond Opopeo, km 51 on Quirogo-Tacambaro road",9/20/1958,2950,NULL
273,CPC,2922,IOP,iopetalum,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL
274,CPC,7167,JAM,jamesii,NULL,NULL,NULL,NULL,E. New Mexico,NULL,USA,"Grant Co. State Hwy 180, 27km  NE of Lordsburg",9/10/1963,1800,NULL
275,CPC,5864,KTZ,kurtzianum,NULL,NULL,NULL,NULL,NULL,NULL,ARG,NULL,NULL,NULL,NULL
276,CPC,5889,KTZ,kurtzianum,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL
277,CPC,7172,MRN,marinasense,NULL,NULL,NULL,NULL,D. Cusco,P. Cusco,PER,"Granja de Kkaira, Munaihuarmey, road to Kishuar Pata",4/17/1964,3300,NULL
278,CPC,1773,TOR,megistacrolobum toralapanum,"-174,333",1726S,"-657,166",06543W,D. Cochabamba,P. Arani,BOL,Toralapa,NULL,3500,NULL
279,CPC,3847,MCH,michoacanum,NULL,NULL,NULL,NULL,NULL,NULL,MEX,NULL,NULL,NULL,NULL
280,CPC,7208,TAR,tarijense,NULL,NULL,NULL,NULL,NULL,NULL,BOL,NULL,NULL,NULL,NULL
281,CPC,6047,NRS,neorossii,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL
282,CPC,7517,OCR,ochranthum,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL
283,CPC,7129,VNT,venturii,-25.15,2509S,"-658,333",06550W,P. Salta,D. Chicoana,ARG,"Cuesta del Obispo, 7km arriba pie de la cuesta, ruta nac.59, km 50.7",4/8/1974,2740,24
284,CPC,7034,PLS,palustre,NULL,NULL,NULL,NULL,NULL,NULL,BOL,NULL,NULL,NULL,NULL
285,CPC,1576,PLS,palustre,NULL,NULL,NULL,NULL,NULL,NULL,BOL,NULL,NULL,NULL,NULL
286,CPC,2451,PLS,palustre,-41.05,4103S,-71.15,07109W,P. Neuquen,NULL,ARG,Peninsula Quertrihue. Parque Nacional de Nahuel Huapi,4/1/1952,800,NULL
287,CPC,7328,SPEC,species,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL
288,CPC,6024,PAM,pampasense,NULL,NULL,NULL,NULL,D. Ayacucho,P. Cangallo,PER,"Pajonal, between Ocras and Andahuaylas",4/18/1953,2000,24
289,CPC,4188,PHU,phureja,NULL,NULL,NULL,NULL,D. Narino,NULL,COL,NULL,NULL,NULL,NULL
290,CPC,4414,PHU,phureja,NULL,NULL,NULL,NULL,E. Merida,NULL,VEN,NULL,NULL,NULL,NULL
291,CPC,7090,RAP,raphanifolium,NULL,NULL,NULL,NULL,D. Cusco,NULL,PER,"Fort Sacsayhuaman, above Cuzco",2/26/1958,NULL,24
292,CPC,7105,SPEC,species,-14.05,1403S,"-724,666",07228W,D. Apurimac,P. Abancay,PER,"Abra Soccllaccasa, at the top of the pass before descending to Abancay",4/17/1971,4050,NULL
293,CPC,7165,SNK,schenckii,NULL,NULL,NULL,NULL,NULL,NULL,MEX,NULL,NULL,NULL,NULL
294,CPC,7164,SNK,schenckii,"173,333",1720N,"-964,833",09629W,E. Oaxaca,NULL,MEX,"Sierra de Juarez, 14 miles on the Oaxaca-Ixtlan road past the divergence",10/21/1958,2700,NULL
295,CPC,7331,SEM,semidemissum,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL
296,CPC,4741,STN,stenotomum,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL
297,CPC,12,STO,stoloniferum,NULL,NULL,NULL,NULL,E. Tlaxcala,NULL,MEX,"Tetlanochan -Mt. Malinche, Estranjerotla",6/21/1938,2600,NULL
298,CPC,28,STO,stoloniferum,"191,166",1907N,"-987,666",09846W,E. Mexico,NULL,MEX,Popocatepetl. Amecameca to Paraje,7/25/1938,2700,48
299,CPC,7069,DMS,demissum,NULL,NULL,NULL,NULL,P. Bolivar,C. Guaranda,ECU,NULL,NULL,NULL,NULL
300,CPC,6032,WBR,weberbaueri,NULL,NULL,NULL,NULL,NULL,NULL,PER,NULL,NULL,NULL,NULL
301,CIP,761605,ALB,albicans,NULL,NULL,NULL,NULL,P. Chimborazo,NULL,ECU,Cerro Colorado,NULL,3600,NULL
302,CIP,763004,AMY,amayanum,NULL,NULL,NULL,NULL,D. Huancavelica,NULL,PER,NULL,NULL,NULL,NULL
303,CIP,763005,AMY,amayanum,NULL,NULL,NULL,NULL,D. Huancavelica,NULL,PER,NULL,NULL,NULL,NULL
304,CIP,761448,ACP,ancophilum,NULL,NULL,NULL,NULL,D. Ancash,P. Yungay,PER,Llanganuco,NULL,3750,NULL
305,CIP,762631,AGU,augustii,NULL,NULL,NULL,NULL,D. Ancash,P. Huaraz,PER,NULL,NULL,NULL,NULL
306,CIP,761755,COP,coelestipetalum,NULL,NULL,NULL,NULL,D. Cusco,P. Anta,PER,Ccalayhua,NULL,3525,NULL
307,CIP,761999,COP,coelestipetalum,NULL,NULL,NULL,NULL,D. Apurimac,P. Abancay,PER,Yanamachay,NULL,2950,NULL
308,CIP,762533,DCM,dolichocremastrum,NULL,NULL,NULL,NULL,D. Ancash,P. Huari,PER,Near  Chavin,NULL,3600,NULL
309,CIP,761224,HRO,huarochiriense,NULL,NULL,NULL,NULL,D. Lima,P. Huarochiri,PER,Huarochiri,NULL,3154,NULL
310,CIP,761265,SPEC,species,NULL,NULL,NULL,NULL,D. Ancash,P. Aija,PER,Huayan,NULL,3600,NULL
311,CIP,761259,HCR,hypacrarthrum,NULL,NULL,NULL,NULL,D. Ancash,P. Aija,PER,Huayan,NULL,2800,NULL
312,CIP,761252,IRS,irosinum,NULL,NULL,NULL,NULL,D. Cajamarca,P. Chota,PER,Cerro Iros,NULL,3250,NULL
313,CIP,762259,IRS,irosinum,NULL,NULL,NULL,NULL,D. Cajamarca,P. Cutervo,PER,Laurel,NULL,2600,NULL
314,CIP,761078,LYC,lycopersicoides,NULL,NULL,NULL,NULL,NULL,NULL,PER,NULL,NULL,NULL,NULL
315,CIP,761465,SGR,sogarandinum,NULL,NULL,NULL,NULL,D. Ancash,P. Sihuas,PER,Cerro Huinjirca,NULL,3300,NULL
316,CIP,761586,SGR,sogarandinum,NULL,NULL,NULL,NULL,D. La Libertad,P. Pataz,PER,Blanca Murococha,NULL,3600,NULL
317,CGN,17843,ACL,acaule,"-159,166",1555S,"-686,333",06838W,D. La Paz,P. Omasuyos,BOL,High pass between Achacachi and Sorata,3/27/1959,4500,48
318,CGN,20620,ACL,acaule,"-186,333",1838S,-66.95,06657W,D. Oruro,P. Poopo,BOL,"Farm (finke St. Helena), 5 km from Plazna to Lago Poopo",4/4/1980,3700,48
319,CGN,18285,AGF,agrimonifolium,15.5,1530N,-90.95,09057W,D. Totonicapan,NULL,GTM,Chemal,10/23/1956,2651,48
320,CGN,18245,ALN,alandiae,"-181,166",1807S,-65.1,06506W,D. Cochabamba,P. Campero,BOL,"10 km from Aiquile on the road to Misque, by the railway crossing",3/26/1980,2400,24
321,CGN,18344,BCP,brachycarpum,1.6,0136N,-77.15,07709W,D. Narino,P. Pasto,COL,"La Union, 2 km E of Santiago on the road to San Francisco",4/8/1958,2200,24
322,CGN,20644,BER,berthaultii,"-179,166",1755S,"-659,166",06555W,D. Cochabamba,P. E. Arce,BOL,"17 km along road from Anzaldo to Mollepujro, just above Alfamayo",3/6/1980,2600,24
323,CGN,20650,BER,berthaultii,NULL,NULL,NULL,NULL,D. Chuquisaca,P. Oropeza,BOL,"17 km from Sucre to Zudanez, Tambo-kasa (east of Sucre)",3/11/1959,2750,24
324,CGN,18042,BER,berthaultii,NULL,NULL,NULL,NULL,NULL,NULL,BOL,NULL,NULL,NULL,24
325,CGN,17681,BST,brachistotrichum,NULL,NULL,NULL,NULL,E. Durango,NULL,MEX,"Near Chihuahua border, 45 miles from Parral between Ojito and Rio Balleza",NULL,NULL,24
326,CGN,17721,BCP,brachycarpum,19.4,1924N,-100.25,10015W,E. Michoacan,NULL,MEX,"Near Zitacuaro, km 147 from Mexico to Morelia",7/31/1949,2920,72
327,CGN,18231,BRC,brevicaule,"-173,166",1719S,"-663,666",06622W,D. Cochabamba,P. Quillacollo,BOL,25.5 km from Quillacollo on the road to Morochata.Below Hairpin Bend by,4/2/1980,3850,24
328,CGN,17683,BUK,bukasovii,NULL,NULL,NULL,NULL,NULL,NULL,PER,NULL,NULL,NULL,24
329,CGN,18249,SPEC,species,"-126,833",1241S,-75.5,07530W,D. Junin,P. Huancayo,PER,"Km 337 of Lima, between Huancayo and La Mejorada",4/15/1953,3700,24
330,CGN,21306,BLB,bulbocastanum,17.5,1730N,-96.45,09627W,E. Oaxaca,NULL,MEX,Road from Oaxaca to Valle Nacional,10/1/1958,1950,24
331,CGN,17693,BLB,bulbocastanum,"197,166",1943N,"-997,833",09947W,E. Mexico,NULL,MEX,Cerro de Cocotitlan,10/1/1958,NULL,24
332,CGN,18062,CNS,canense,NULL,NULL,NULL,NULL,NULL,NULL,BOL,NULL,NULL,NULL,NULL
333,CGN,18123,CNS,canense,-16.35,1621S,"-675,833",06735W,D. La Paz,P. Sud Yungas,BOL,"20 km from Chulumani to Pt. Villa, Chaijro Village at Montoncora River,",2/21/1980,1350,NULL
334,CGN,18297,CAP,capsicibaccatum,NULL,NULL,NULL,NULL,NULL,NULL,BOL,NULL,NULL,NULL,24
335,CGN,18268,CAP,capsicibaccatum,"-173,333",1720S,-66.35,06621W,D. Cochabamba,P. Quillacollo,BOL,22 km from Quillacollo old road to Morochata near New Puente San Miguel,4/3/1980,3650,24
